datum,predsolski,osnovnosolski,srednjesolci,studentje,odrasli_m,odrasli_z,upokojenci_m,upokojenci_z,skupaj
3/8/2013,0,0,0,3,0,0,0,0,3
3/9/2013,0,0,0,6,1,0,0,0,7
3/10/2013,0,0,1,9,2,6,1,2,21
3/12/2013,0,0,0,1,0,0,0,0,1
3/13/2013,0,0,0,0,1,0,0,0,1
3/14/2013,0,0,0,0,3,5,1,1,10
3/15/2013,0,0,0,0,1,0,0,1,2
3/16/2013,0,2,0,0,3,0,0,1,6
3/17/2013,0,0,0,5,3,4,2,2,16
3/19/2013,0,0,0,4,3,2,0,0,9
3/20/2013,0,0,0,0,13,1,2,1,17
3/21/2013,0,0,0,1,2,1,0,0,4
3/22/2013,0,0,0,23,3,1,0,0,27
3/23/2013,0,0,0,2,4,1,2,1,10
3/24/2013,0,0,0,8,6,3,3,3,23
3/26/2013,0,0,0,5,7,4,2,1,19
3/27/2013,0,0,0,0,2,2,0,0,4
3/28/2013,0,0,0,11,5,4,0,3,23
3/29/2013,0,0,0,1,10,6,2,1,20
3/30/2013,0,0,1,13,9,12,1,2,38
3/31/2013,0,1,0,6,5,4,1,0,17
4/2/2013,0,0,0,4,3,1,0,0,8
4/3/2013,0,0,0,1,4,3,0,0,8
4/4/2013,0,1,0,2,4,5,0,0,12
4/5/2013,1,0,0,9,9,7,0,1,27
4/6/2013,0,0,12,3,1,0,0,1,17
4/7/2013,0,0,21,4,4,2,3,2,36
4/9/2013,0,0,1,2,3,4,0,0,10
4/10/2013,0,0,0,0,1,3,2,1,7
4/11/2013,0,0,0,0,2,2,0,1,5
4/12/2013,1,0,0,3,12,12,2,1,31
4/13/2013,0,1,0,2,1,2,1,0,7
4/14/2013,0,0,0,0,0,0,1,0,1
4/16/2013,0,0,0,2,0,0,18,0,20
4/17/2013,0,0,0,2,2,0,0,0,4
4/18/2013,0,0,1,5,1,1,0,0,8
4/19/2013,0,0,0,4,2,0,0,0,6
4/20/2013,0,1,0,2,3,4,2,1,13
4/21/2013,0,0,0,1,3,6,1,1,15
4/23/2013,0,0,0,0,1,1,1,1,4
4/24/2013,0,0,0,0,1,1,3,3,8
4/25/2013,0,0,0,2,2,3,1,0,8
4/26/2013,0,0,0,1,1,2,0,0,4
4/27/2013,0,0,1,0,9,5,1,1,17
4/28/2013,0,0,2,2,6,4,0,0,14
4/30/2013,0,0,0,0,2,2,21,20,45
5/1/2013,0,0,0,1,2,1,3,3,10
5/2/2013,0,0,0,0,3,2,1,0,6
5/3/2013,0,0,0,0,2,1,3,3,15
5/4/2013,0,0,0,4,1,2,0,0,11
